site.name,depth,age,age.old,age.young,date.type,calendar.ybp,lat,long,dataset,AMBROSIA,APIACEAE,ARTEMISIA,ASTERCICHO,ASTERX,CHENOAMX,CUPRESSA,CYPERACE,ERIOGONUM,FABACEAE,LAMIACEAE,Other,PINUSX,POACEAE,POLYPOD,QUERCUS,SELAGINE,ABIES,ACNEGUNA,ACSACRUM,ALNUSX,ARCEUTHOBI,BETULA,BRASSICACEAE,CARYA,CASTANEA,CORYLUS,EPHEDRA,FRAXNIGR,FRAXPNAM,IVA,JUGLANSX,JUGNIGRA,LARIXPSEU,MYRICACX,OSTRYCAR,PICEAX,PLANTAGINX,PLATANUS,POLYGONAX,POPULUS,ROSACEAX,RUMEX,SALIX,SARCOBATUS,THALICTRUM,TILIA,TSUGAX,ULMUS,URTICACX,XANTHIUM,ACERX,ALRUGOSA,CARYOPHYLL,ERICACEX,EUPHORB,FAGUS,FRAXINUX,NYSSA,RUBIACEAE,SANGUI,SHEPHERDIA,LILIACEAE,ONAGRACEAE,POLYGONMX,RANUNCUL,BORAGINACEAE,CORNUS,TAXUS,CACTACEAE,CAMPANULACEA,RHAMNACEAE,CAPRIFOLIA,POLEMONI,SCROPHUL,CHRYSOLEP,TSUGMERT,ACRUBRUM,MALVACEAE,PEDICULARI,RUBUS,ALNUS,LIQUIDAM,ACSACNUM,RUMEOXYR,ERIVACCI,ELAEAGNX,PROSOPIS,DRYAS,DODECATH,TSUGHETE,POLYGVIV,POLYGBIS,ERICALES,TAXODIUM,AQUIFOLI,ACPENSYL,ARMERIA,PICMARIA,ALRUBRA,pollensum,ambrosia.proportion,artemisia.proportion,ambtoart,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
Chub Lake,275,427,NA,NA,Calendar years BP,427,44.5635,-93.218805,12010,13,0,11,0,9,1,0,2,0,1,0,15,23,76,0,101,0,0,0,1,5,0,11,0,0,0,4,0,6,0,1,2,0,0,0,4,1,0,0,0,11,1,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0.041935484,0.035483871,1.181818182,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,85,284,NA,NA,Calendar years BP,284,45.80155,-95.55285,12011,29,0,22,0,11,7,0,25,0,0,0,13,42.5,32,0,120,0,0,0,5,3,0,29,0,2,0,4,0,1,3,5,0,2,0,0,62,1,0,1,0,6,0,0,1,0,1,7,0,16,0,0,2,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.5,0.062702703,0.047567568,1.318181818,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,95,321,NA,NA,Calendar years BP,321,45.80155,-95.55285,12011,22,0,14,0,13,1,1,14,0,2,0,9,33,27,0,98,0,0,0,2,1,0,26,0,2,0,2,0,1,4,0,0,1,0,0,41,2,0,0,0,1,0,0,2,1,0,5,2,15,2,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0.0625,0.039772727,1.571428571,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,100,339,NA,NA,Calendar years BP,339,45.80155,-95.55285,12011,26,0,39,0,14,5,0,29,0,0,0,12,58,63,0,126,0,0,0,7,2,0,48,0,0,0,10,0,2,7,0,0,0,1,0,42,2,0,1,0,7,0,0,11,1,1,9,0,11,2,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0.047272727,0.070909091,0.666666667,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,105,358,NA,NA,Calendar years BP,358,45.80155,-95.55285,12011,18,0,26,0,12,6,0,19,0,2,0,16,44.5,27,0,113,0,0,0,4,2,0,22,0,0,0,6,1,2,3,0,0,0,0,0,40,3,0,2,0,3,0,0,3,4,1,4,0,11,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.5,0.044499382,0.064276885,0.692307692,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,110,376,NA,NA,Calendar years BP,376,45.80155,-95.55285,12011,30,1,37,0,13,13,0,17,0,0,0,21,50.5,47,0,68,0,0,0,4,7,0,39,0,0,0,2,0,1,1,0,0,1,0,0,49,4.5,0,6,0,3,1,0,11,1,0,7,0,11,2,1,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0.065075922,0.080260304,0.810810811,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,115,395,NA,NA,Calendar years BP,395,45.80155,-95.55285,12011,8,0,24,0,8,4,0,10,0,3,0,9,44,33,0,71,0,0,0,1,1,0,23,0,0,1,2,0,1,3,1,0,0,0,0,43,2,0,2,0,2,0,0,3,2,0,7,0,10,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0.024539877,0.073619632,0.333333333,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,125,432,NA,NA,Calendar years BP,432,45.80155,-95.55285,12011,15,0,31,0,14,5,0,36,0,0,0,14,62.5,58,0,110,0,0,0,5,2,0,43,0,1,0,6,0,1,2,1,0,0,0,0,58,1,0,3,0,1,2,1,8,3,0,12,0,17,0,0,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.5,0.028598665,0.059103908,0.483870968,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Lake Rachel,135,468,NA,NA,Calendar years BP,468,45.80155,-95.55285,12011,19,2,33,0,9,6,0,24,0,2,0,12,44.5,66,0,75,0,0,0,5,0,0,27,0,0,0,28,0,1,6,0,0,0,0,0,57,2,0,1,0,4,0,0,10,0,0,6,0,12,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.5,0.041081081,0.071351351,0.575757576,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Ziebell Lake,110,266,NA,NA,Calendar years BP,266,46.05545,-95.26345,12012,6,0,9,0,4,4,1,12,0,1,0,4,16,99,0,82,0,0,0,0,0,0,37,0,0,0,5,0,2,3,0,0,0,0,0,14,1.5,0,0,0,0,0,0,2,0,0,7,0,8,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.5,0.018320611,0.027480916,0.666666667,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
