".id","site.name","depth","age","age.old","age.young","date.type","lat","long","dataset","ACRUBRUM","ACSACRUM","AMBROSIA","APIACEAE","ARTEMISIA","ASTERX","BETULA","CARYA","CHENOAMX","CUPRESSA","CYPERACE","FAGUS","FRAXINUX","FRAXNIGR","IVA","JUGLANSX","LAMIACEAE","LIQUIDAM","NYSSA","ONAGRACEAE","OSTRYCAR","Other","PINUSX","PLANTAGINX","PLATANUS","POACEAE","POLYGONMX","POLYPOD","QUERCUS","RUBIACEAE","RUBUS","SALIX","ULMUS","ABIES","ALNUSX","FRAXPNAM","PICEAX","SPHAGNUM","BRASSICACEAE","POPULUS","TSUGAX","ASTERCICHO","ACERX","CORYLUS","EQUISETU","RANUNCUL","ROSACEAX","THALICTRUM","TILIA","RUMEX","ALRUGOSA","LYCOPODX","POLYGONAX","JUGNIGRA","MYRICACX","URTICACX","RHAMNACEAE","FABACEAE","ERICACEX","LARIXPSEU","SARCOBATUS","EPHEDRA","CARYOPHYLL","SELAGINE","ACNEGUNA","XANTHIUM","CORNUS","LILIACEAE","ACSACNUM","EUPHORB","MALVACEAE","BORAGINACEAE","CASTANEA","ELAEAGNX","RUMEOXYR","PTERIDIUM","CAPRIFOLIA","SHEPHERDIA","ERIVACCI","AQUIFOLI","ARCEUTHOBI","SCROPHUL","MAGNOLIACE","CAMPANULACEA","ERIOGONUM","TAXODIUM","CACTACEAE","LARREA","POLEMONI","ACPENSYL","SANGUI","PROSOPIS","PEDICULARI","ANACARDI","TAXUS","optional"
"3752","Stations 66-69 (Lichti-Federovich and Ritchie 1968)",0,NA,NA,NA,NA,50.83,-95.17,3752,NA,NA,NA,NA,22,23,41,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,709,NA,NA,20,NA,2,2,NA,NA,4,4,4,51,NA,102,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3757","Stations 70-76 (Lichti-Federovich and Ritchie 1968)",0,NA,NA,NA,NA,53.75,-103.05,3757,NA,NA,NA,NA,34,7,136,NA,24,NA,85,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,38,255,NA,NA,74,NA,NA,2,NA,NA,52,7,NA,110,NA,169,NA,NA,6,NA,NA,1,NA,25,NA,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10402","Moose Lake",NA,NA,NA,NA,NA,49.21085,-95.3108,10402,NA,NA,NA,NA,52,28,256,NA,8,NA,7,NA,12,NA,NA,4,NA,NA,NA,NA,6,NA,316,NA,NA,46,NA,NA,10,NA,NA,18,20,2,84,NA,104,3,NA,16,NA,NA,NA,4,NA,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14179","Davis Dam",NA,-37,NA,NA,1,46.545005,-103.658015,14179,NA,NA,11,NA,86,23,5,NA,60,26,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,68.5,NA,1,61,NA,NA,9,NA,NA,7,7,2,2,35,2,NA,3,2,NA,NA,NA,NA,NA,4,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14387","Bull Pond",NA,-58,NA,NA,1,39.391925,-96.928015,14387,NA,NA,165,1,7,18,NA,1,50,NA,21,NA,7,NA,5,NA,NA,NA,NA,1,NA,37,12,NA,NA,86,5,NA,23,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,1,NA,NA,39,5,1,7,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14418","Hippie 1 Pond",NA,-59,NA,NA,1,38.10608,-96.45788,14418,NA,NA,115,NA,4,49,NA,12,27,36,9,NA,10,NA,6,NA,NA,NA,NA,NA,NA,35,39,NA,4,48,NA,NA,85,NA,NA,NA,22,1,NA,NA,NA,NA,NA,2,NA,7,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,12,NA,28,NA,3,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE
"14424","Conata Basin 1",NA,-57,NA,NA,1,43.743305,-102.19478,14424,NA,NA,36,5,35,8,NA,NA,65,50,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,102,NA,NA,88,1,NA,9,NA,NA,2,NA,1,2,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,13,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,TRUE
"14501","Unnamed Stock Dam",NA,-37,NA,NA,1,46.584305,-103.45219,14501,NA,NA,11,NA,72,21,NA,NA,56,23,10,NA,NA,NA,1,NA,1,NA,NA,NA,NA,176.5,65.5,1,NA,36,NA,NA,2,NA,NA,2,3,NA,2,13,NA,NA,2,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2,NA,19,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19203","Newell Lake",NA,-60,NA,NA,1,44.84181,-103.393915,19203,NA,NA,11,NA,17,8,NA,NA,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,60,NA,NA,44,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19963","George Lake",NA,-60,NA,NA,1,44.2329,-93.87066,19963,NA,1,58,NA,6,8,NA,5,16,NA,1,NA,NA,12,NA,1,NA,NA,NA,NA,2,126,16,NA,NA,39,NA,3,46,2,NA,4,7,NA,NA,4,1,NA,NA,1,NA,NA,6,2,16,1,NA,NA,8,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,TRUE
